Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,680µF,
C2,CP_Radial_D6.3mm_P2.50mm,1,220µF,
"C3, C4",0805,2,0.1µF,
C5,0805,1,10nF,
C6,0805,1,1µF,
D1,D_DO-201AD_P15.24mm_Horizontal,1,1N5822,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,
"D3, D4",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
J1,XKB_DC-005-5A-2.0,1,Barrel_Jack_Switch,
J2,PinHeader_1x03_P2.54mm_Horizontal,1,Fan,
L1,L_Bourns_SRU5016_5.2x5.2mm,1,33µH,
Q1,TO-220-3_Vertical,1,STP55NF06L,
"Q2, Q3",TO-92_Inline,2,PN2222,
"R1, R4, R5, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10kΩ,
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1kΩ,
"R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100kΩ,
SW1,SW_Cherry_MX_1.00u_PCB,1,SW_Push,
U1,TO-263-5_TabPin3,1,LM2596S-3.3,
U2,PinSocket_2x04_P2.54mm_Vertical,1,ESP-01S,
U3,PinSocket_1x08_P2.54mm_Vertical,1,ENS160+AHT21,
U4,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
