Designator,Mid X,Mid Y,Rotation,Layer
C1,89.4,-48.1,90.0,top
C2,76.05,-80.9,180.0,top
C3,112.143392,-78.61,0.0,top
C4,119.292775,-78.585363,180.0,top
C5,110.87,-75.91,180.0,top
C6,133.75,-81.875,180.0,top
D1,79.0,-70.0,180.0,top
D2,115.09,-51.2,0.0,top
D3,107.17,-74.7,90.0,top
D4,124.17,-74.7,90.0,top
H1,73.2,-39.3,0.0,top
H2,137.5592,-39.0,0.0,top
H3,137.7592,-97.6,0.0,top
H4,73.0,-97.5,0.0,top
J1,79.15,-52.25,0.0,top
J2,79.385,-61.0,180.0,top
L1,92.5,-69.9,90.0,top
Q1,128.96,-61.5,0.0,top
Q2,110.17,-65.87,0.0,top
Q3,121.4,-65.87,0.0,top
R1,130.12,-64.64,0.0,top
R2,110.17,-58.01,270.0,top
R3,121.4,-58.01,270.0,top
R4,117.17,-70.01,0.0,top
R5,113.67,-73.01,0.0,top
R6,103.67,-74.7,270.0,top
R7,127.67,-74.82,270.0,top
R8,132.34375,-74.84375,270.0,top
SW1,125.11,-88.15,0.0,top
U1,95.65,-59.225,0.0,top
U2,108.07,-96.42,90.0,top
U3,83.642599,-85.89,0.0,top
U4,96.8,-41.49,90.0,top
